kol,coin,giris,cikis,R,pnl,neden,anahtar
squeeze,XLM,2025-02-16 18:00:00+00:00,2025-02-18 06:00:00+00:00,2.4121593291864296,12.832687631271806,tp,squeeze:XLM
donchian,SOL,2025-02-17 04:00:00+00:00,2025-02-18 16:00:00+00:00,2.460061660693241,13.087528034888043,tp,donchian:SOL
donchian,ICP,2025-02-18 04:00:00+00:00,2025-02-20 12:00:00+00:00,-1.035542636688934,-5.509086827185129,sl,donchian:ICP
donchian,NEAR,2025-02-18 12:00:00+00:00,2025-02-20 12:00:00+00:00,-1.0242292186637294,-5.44889944329104,sl,donchian:NEAR
squeeze,XRP,2025-02-21 03:00:00+00:00,2025-02-21 13:00:00+00:00,-1.084789274196569,-5.771078938725747,sl,squeeze:XRP
squeeze,DOGE,2025-02-21 13:00:00+00:00,2025-02-21 14:00:00+00:00,-1.0942986475871597,-5.82166880516369,sl,squeeze:DOGE
donchian,BCH,2025-02-17 16:00:00+00:00,2025-02-22 16:00:00+00:00,-0.11423455095362423,-0.6077278110732809,sure,donchian:BCH
bb,LTC,2025-02-23 23:00:00+00:00,2025-02-24 03:00:00+00:00,1.611286669219218,8.57204508024624,tp,bb:LTC
donchian,ICP,2025-02-24 20:00:00+00:00,2025-02-27 08:00:00+00:00,-1.0310423913308506,-5.485145521880125,sl,donchian:ICP
donchian,ADA,2025-02-24 12:00:00+00:00,2025-02-28 00:00:00+00:00,2.4691366483249637,13.135806969088808,tp,donchian:ADA
donchian,SOL,2025-02-24 12:00:00+00:00,2025-02-28 00:00:00+00:00,2.4705446622165605,13.143297602992101,tp,donchian:SOL
donchian,BNB,2025-02-24 16:00:00+00:00,2025-02-28 00:00:00+00:00,2.449103298064131,13.029229545701178,tp,donchian:BNB
donchian,ETH,2025-02-24 20:00:00+00:00,2025-02-28 00:00:00+00:00,2.46780545128887,13.12872500085679,tp,donchian:ETH
donchian,BCH,2025-02-24 12:00:00+00:00,2025-02-28 04:00:00+00:00,2.4567383110083285,13.069847814564309,tp,donchian:BCH
donchian,SOL,2025-02-28 00:00:00+00:00,2025-02-28 12:00:00+00:00,-1.019502181772546,-5.423751607029945,sl,donchian:SOL
squeeze,XRP,2025-02-28 01:00:00+00:00,2025-03-01 01:00:00+00:00,-1.0420074748685446,-5.543479766300657,sl,squeeze:XRP
donchian,BNB,2025-02-28 00:00:00+00:00,2025-03-01 12:00:00+00:00,-1.0348758931537012,-5.5055397515776905,sl,donchian:BNB
donchian,NEAR,2025-02-25 00:00:00+00:00,2025-03-01 16:00:00+00:00,-1.0226836452918024,-5.440676992952389,sl,donchian:NEAR
donchian,ADA,2025-02-28 00:00:00+00:00,2025-03-01 20:00:00+00:00,-1.0198792520118602,-5.425757620703097,sl,donchian:ADA
bb,LTC,2025-03-01 13:00:00+00:00,2025-03-02 13:00:00+00:00,-1.034873159695195,-5.505525209578438,sl,bb:LTC
donchian,ETH,2025-02-28 00:00:00+00:00,2025-03-02 16:00:00+00:00,-1.022621265566249,-5.440345132812444,sl,donchian:ETH
donchian,ADA,2025-03-02 12:00:00+00:00,2025-03-02 16:00:00+00:00,2.479875827091693,13.192939400127807,tp,donchian:ADA
bb,LTC,2025-03-02 13:00:00+00:00,2025-03-02 16:00:00+00:00,1.6225363078075143,8.631893157535977,tp,bb:LTC
squeeze,DOGE,2025-03-02 16:00:00+00:00,2025-03-03 06:00:00+00:00,-1.0416222177421015,-5.54143019838798,sl,squeeze:DOGE
donchian,ADA,2025-03-02 16:00:00+00:00,2025-03-03 08:00:00+00:00,-1.0166933584103244,-5.408808666742926,sl,donchian:ADA
bb,LTC,2025-03-02 16:00:00+00:00,2025-03-03 14:00:00+00:00,1.6374866439387987,8.71142894575441,tp,bb:LTC
squeeze,TRX,2025-03-02 15:00:00+00:00,2025-03-03 18:00:00+00:00,-1.12667821057055,-4.524609008060523,sl,squeeze:TRX
donchian,BCH,2025-03-03 12:00:00+00:00,2025-03-03 20:00:00+00:00,-1.026048568509235,-5.4585783844691305,sl,donchian:BCH
donchian,NEAR,2025-03-04 12:00:00+00:00,2025-03-05 20:00:00+00:00,-1.017250374099783,-5.411771990210846,sl,donchian:NEAR
squeeze,XRP,2025-03-06 10:00:00+00:00,2025-03-06 17:00:00+00:00,-1.051473096061678,-5.593836871048127,sl,squeeze:XRP
bb,LTC,2025-03-08 04:00:00+00:00,2025-03-09 13:00:00+00:00,1.634769936050482,8.696976059788563,tp,bb:LTC
squeeze,DOGE,2025-03-09 08:00:00+00:00,2025-03-09 15:00:00+00:00,2.424871680210485,12.900317338719779,tp,squeeze:DOGE
squeeze,XRP,2025-03-09 11:00:00+00:00,2025-03-09 18:00:00+00:00,2.4357077749075957,12.957965362508409,tp,squeeze:XRP
donchian,BCH,2025-03-05 08:00:00+00:00,2025-03-10 08:00:00+00:00,-0.26661877388265,-1.418411877055698,sure,donchian:BCH
squeeze,XLM,2025-03-09 12:00:00+00:00,2025-03-10 09:00:00+00:00,-1.074085884963141,-5.71413690800391,sl,squeeze:XLM
donchian,BNB,2025-03-10 16:00:00+00:00,2025-03-11 08:00:00+00:00,-1.0367591156140954,-5.515558495066988,sl,donchian:BNB
squeeze,XLM,2025-03-10 16:00:00+00:00,2025-03-12 16:00:00+00:00,0.04555890059402438,0.24237335116020967,sure,squeeze:XLM
donchian,NEAR,2025-03-10 12:00:00+00:00,2025-03-14 08:00:00+00:00,-1.018348998546589,-5.417616672267854,sl,donchian:NEAR
donchian,ADA,2025-03-09 12:00:00+00:00,2025-03-14 12:00:00+00:00,0.18020058194148872,0.95866709592872,sure,donchian:ADA
donchian,SOL,2025-03-09 12:00:00+00:00,2025-03-14 12:00:00+00:00,-0.2162357054123147,-1.1503739527935144,sure,donchian:SOL
donchian,ICP,2025-03-09 16:00:00+00:00,2025-03-14 16:00:00+00:00,-0.5433586685101475,-2.8906681164739845,sure,donchian:ICP
