coin,kol,yon,cikis,bar,giris,tf,adx14,atr_pct,atr_norm,er20,er50,kanal_konum,kanal_atr,ic_oran40,rvol20,ema200_atr,get20,btc_adx,btc_er20,btc_get20,btc_atr_pct,btc_ic40,R,slp,cikis_ts,eff,pnl_pct,ay,fund,f_yon,f_z,fz_yon,giris_ts,chop
TRX,squeeze,1,sure,48,2025-03-20 18:00:00+00:00,1h,21.50867524515405,0.0083983141453926,1.0628542178117528,0.2096096096096106,0.1494140625000002,0.4254703328509404,7.040467016782864,1.0,0.004448336002695,3.628971706585133,0.0151580958999304,28.42509300629046,0.2629008094872378,-0.0242514260762926,0.0087128142405311,0.9,0.4262116352279302,0.0167966282907853,2025-03-22 18:00:00+00:00,0.025194942436178,1.073837761519702,2025-03,0.0001,0.0001,0.3963165178138965,0.3963165178138965,2025-03-20 18:00:00+00:00,51.63300553355688
LTC,bb,-1,sl,40,2025-03-22 18:00:00+00:00,1h,19.05923387537825,0.0064983096225518,0.6685074661612379,0.0844793713163073,0.1043256997455468,0.4460227272727299,5.894225567126313,1.0,0.0033843992337356,-0.5846420260620125,0.0047009948617033,9.418856042560332,0.047458473835395,0.0009033670629992,0.0031146396380658,0.975,-1.010259050926069,0.0194949807191044,2025-03-24 10:00:00+00:00,0.028,-2.828725342592993,2025-03,-5.77e-05,5.77e-05,-1.2991081299924554,1.2991081299924554,2025-03-22 18:00:00+00:00,59.05585318353281
BCH,donchian,-1,sl,17,2025-03-21 20:00:00+00:00,4h,14.606526949819893,0.0200690919027417,0.5633143348289101,0.1518019657808532,0.046875,0.0960766141489037,4.9943582189820654,0.975,0.0106468632210724,-3.082103251651101,-0.0251743185728516,12.358701869046005,0.2521274651176968,0.0304385938026787,0.0136643380682871,0.95,-1.0049827864900245,0.0401381838054835,2025-03-24 16:00:00+00:00,0.028,-2.813951802172068,2025-03,-5.633e-05,5.633e-05,-0.1818917480444325,0.1818917480444325,2025-03-21 20:00:00+00:00,40.58652408821478
XLM,squeeze,1,sl,8,2025-03-26 05:00:00+00:00,1h,23.04935005208488,0.0111568605875241,1.3214399022996814,0.169608595548734,0.1917351129363452,0.9165413533834588,3.9997705641315457,0.975,0.0084263699786011,4.561973752990848,0.0227514498472942,20.81429989448072,0.0687258342087032,0.0035274886001892,0.0057811878799255,0.975,-1.008963094879202,0.0223137211750483,2025-03-26 13:00:00+00:00,0.028,-2.825096665661766,2025-03,0.0001,0.0001,0.298376494646288,0.298376494646288,2025-03-26 05:00:00+00:00,60.88497684039103
ADA,donchian,1,sl,8,2025-03-25 08:00:00+00:00,4h,16.910166120591736,0.0212670638627639,0.645098209166597,0.367378048780488,0.1273943447856493,0.9174690508940851,4.51635810806216,0.975,0.0113767526118376,0.1058017113152862,0.0680118526880204,26.11467822774493,0.3785353381627802,0.036919039589617,0.0109141050993459,0.9,-1.004702106536442,0.0425341277255278,2025-03-26 16:00:00+00:00,0.028,-2.8131658983020382,2025-03,0.0001,0.0001,0.2081847694737221,0.2081847694737221,2025-03-25 08:00:00+00:00,42.325215982572296
SOL,donchian,1,sl,7,2025-03-25 12:00:00+00:00,4h,30.40047051326669,0.0227284180273543,0.8663910436198281,0.4511525795828759,0.2069812540400775,0.905376344086022,7.045584753429826,0.9,0.0157303076400193,0.225497159720216,0.1276893203883495,27.180816810907576,0.405905562215574,0.0414017842833485,0.0111747003823797,0.9,-1.004399778281077,0.0454568360547087,2025-03-26 16:00:00+00:00,0.028,-2.812319379187016,2025-03,1.127e-05,1.127e-05,-0.2947559846476195,-0.2947559846476195,2025-03-25 12:00:00+00:00,39.67265436972648
ICP,donchian,1,sl,17,2025-03-25 08:00:00+00:00,4h,23.06793159445108,0.018071970648701,0.7312881320241627,0.4923234390992823,0.146548541897379,0.8389154704944178,5.659806111171712,0.975,0.0091811071500788,-0.714571859818914,0.0851478137723491,26.11467822774493,0.3785353381627802,0.036919039589617,0.0109141050993459,0.9,-1.0055334308551025,0.036143941297402,2025-03-28 04:00:00+00:00,0.028,-2.815493606394287,2025-03,8.758e-05,8.758e-05,0.2223594301968831,0.2223594301968831,2025-03-25 08:00:00+00:00,42.2352564116918
NEAR,donchian,1,sl,26,2025-03-24 04:00:00+00:00,4h,17.10642410076312,0.0216256534203851,0.6683745969523721,0.2664233576642342,0.1624500665778962,0.9206730769230772,6.670046107054703,0.9,0.011666447186713,-0.9921112166980064,0.0533235938641343,16.071337614792924,0.4414342230457221,0.0314134819608569,0.0095937212994109,0.95,-1.0046241377338347,0.0432513068407702,2025-03-28 12:00:00+00:00,0.028,-2.812947585654737,2025-03,3.409e-05,3.409e-05,-0.28076255425454,-0.28076255425454,2025-03-24 04:00:00+00:00,51.029024944341565
XRP,squeeze,-1,tp,23,2025-03-28 04:00:00+00:00,1h,35.05316691381605,0.0112019871925057,1.232712709911549,0.3746588693957133,0.3210760596090585,0.0832902224521458,7.587998284667488,0.925,0.0068636517168984,-4.568838746813845,-0.0405451016791833,13.850021922486013,0.2334181337132387,-0.0131230112098824,0.0056413147536261,0.975,2.4910730124680964,0.0224039743850114,2025-03-29 03:00:00+00:00,0.028,6.9750044349106695,2025-03,2.994e-05,-2.994e-05,-0.4118990814371052,0.4118990814371052,2025-03-28 04:00:00+00:00,45.285703759402445
ETH,donchian,-1,sure,30,2025-03-28 04:00:00+00:00,4h,25.685126650709343,0.0182957880131874,0.8306447211986453,0.5022568732047602,0.2070953939445461,0.0512556909972097,5.848387849001621,0.95,0.0133159074586364,-7.144026699387175,-0.0823683793098475,20.12663983199677,0.220802778849865,-0.0261640869209291,0.0119120055799608,0.95,0.6384381271930918,0.0365915760263749,2025-04-02 04:00:00+00:00,0.028,1.7876267561406571,2025-04,6.551e-05,-6.551e-05,-0.2079352771904727,0.2079352771904727,2025-03-28 04:00:00+00:00,37.982591949627036
BCH,donchian,-1,sure,30,2025-03-28 04:00:00+00:00,4h,22.36987735801099,0.0211309189565118,0.8414180260195906,0.2995793737342265,0.2408582653369602,0.0127235213204933,4.395485191168649,0.95,0.0123326989093887,-3.8292446973936,-0.0578659123736158,20.12663983199677,0.220802778849865,-0.0261640869209291,0.0119120055799608,0.95,0.6966104897239402,0.0422618379130237,2025-04-02 04:00:00+00:00,0.028,1.9505093712270327,2025-04,-0.00023427,0.00023427,-1.2112504511987292,1.2112504511987292,2025-03-28 04:00:00+00:00,46.40922754875651
