ts,symbol,oi,oi_usd,price,funding
2026-07-30T00:48:52+00:00,ETH,100700163.0,191052377250.12,1897.24,3.5e-05
2026-07-30T00:48:52+00:00,ADA,65160031.0,10542893.0158,0.1618,5.5e-05
2026-07-30T00:48:52+00:00,NEAR,6931248.0,11145446.784,1.608,3e-05
2026-07-30T00:48:52+00:00,BCH,8499416.0,1780202681.1999998,209.45,-1.4e-05
2026-07-30T00:48:52+00:00,ICP,242018207.0,498073470.006,2.058,-0.000203
2026-07-30T00:48:52+00:00,BNB,4313449.0,2469880897.4,572.6,7.3e-05
2026-07-30T00:48:52+00:00,XRP,54252609.0,58077417.9345,1.0705,6.4e-05
2026-07-30T00:48:52+00:00,DOGE,5649820.0,395261.40719999996,0.06996,-2e-06
2026-07-30T00:48:52+00:00,TRX,1065933.0,346843.93887,0.32539,-9e-05
2026-07-30T00:48:52+00:00,XLM,4457092.0,763811.85604,0.17137,-0.000126
2026-07-30T00:48:52+00:00,LTC,19094135.0,862291136.5999999,45.16,-1.9e-05
2026-07-30T01:03:52+00:00,SOL,21404017.0,1571482928.14,73.42,2.5e-05
2026-07-30T01:03:52+00:00,ETH,101086096.0,192165679356.96,1901.01,3.5e-05
2026-07-30T01:03:52+00:00,ADA,65150794.0,10560943.7074,0.1621,5.7e-05
2026-07-30T01:03:52+00:00,NEAR,6930732.0,11179270.716,1.613,3.8e-05
2026-07-30T01:03:52+00:00,BCH,8488076.0,1776045022.24,209.24,-1.6e-05
2026-07-30T01:03:52+00:00,ICP,241774294.0,501198111.462,2.073,-0.000185
2026-07-30T01:03:52+00:00,BNB,4318571.0,2474541183.0,573.0,7.7e-05
2026-07-30T01:03:52+00:00,XRP,54699675.0,58588821.8925,1.0711,7e-05
2026-07-30T01:03:52+00:00,DOGE,5652406.0,396911.94932,0.07022,-2e-06
2026-07-30T01:03:52+00:00,TRX,1073304.0,349532.18064,0.32566,-9.6e-05
2026-07-30T01:03:52+00:00,XLM,4495818.0,770178.58158,0.17131,-0.000123
2026-07-30T01:03:52+00:00,LTC,18960110.0,856238567.5999999,45.16,-2.4e-05
2026-07-30T01:18:53+00:00,SOL,22506268.0,1652635259.2400002,73.43,2.8e-05
2026-07-30T01:18:53+00:00,ETH,101463888.0,192874733976.96002,1900.92,3.5e-05
2026-07-30T01:18:53+00:00,ADA,64630683.0,10496022.9192,0.1624,4.7e-05
2026-07-30T01:18:53+00:00,NEAR,6991668.0,11263577.148,1.611,4.2e-05
2026-07-30T01:18:53+00:00,BCH,8487136.0,1771180411.84,208.69,-3.2e-05
